datetime,symbol,open,high,low,close,volume
2024-12-30 15:30:00,NYSE:DIS,110.425,112.2,109.83,111.16,21556279.0
2025-01-06 15:30:00,NYSE:DIS,111.47,113.74,107.62,108.65,30794056.0
2025-01-13 15:30:00,NYSE:DIS,107.93,109.6,106.16,107.02,33505723.0
2025-01-21 15:30:00,NYSE:DIS,107.1,113.39,106.8,112.16,33338142.0
2025-01-27 15:30:00,NYSE:DIS,111.68,115.18,111.46,113.06,38334646.0
2025-02-03 15:30:00,NYSE:DIS,111.35,118.59,109.15,110.86,66841904.0
2025-02-10 15:30:00,NYSE:DIS,111.14,111.38,107.69,110.38,34735240.0
2025-02-18 15:30:00,NYSE:DIS,109.775,111.76,107.92,108.66,31867193.0
2025-02-24 15:30:00,NYSE:DIS,108.84,113.99,108.65,113.8,44677908.0
2025-03-03 15:30:00,NYSE:DIS,114.07,115.55,103.31,105.51,54833570.0
2025-03-10 14:30:00,NYSE:DIS,104.43,104.8,95.925,98.64,61004106.0
2025-03-17 14:30:00,NYSE:DIS,98.74,100.96,97.75,99.46,46600533.0
2025-03-24 14:30:00,NYSE:DIS,100.22,102.27,97.74,98.07,36184545.0
2025-03-31 15:30:00,NYSE:DIS,96.83,98.85,83.08,83.53,69210945.0
2025-04-07 15:30:00,NYSE:DIS,80.99,92.25,80.1,84.89,86853888.0
2025-04-14 15:30:00,NYSE:DIS,85.83,86.45,82.0072,84.81,43636944.0
2025-04-21 15:30:00,NYSE:DIS,84.91,90.34,82.98,90.28,53894001.0
2025-04-28 15:30:00,NYSE:DIS,90.45,93.185,88.56,92.49,38711222.0
2025-05-05 15:30:00,NYSE:DIS,89.7,106.19,89.61,105.94,87948987.0
2025-05-12 15:30:00,NYSE:DIS,109.87,113.44,108.66,113.42,67078950.0
2025-05-19 15:30:00,NYSE:DIS,112.12,113.4,108.78,109.72,39783377.0
2025-05-27 15:30:00,NYSE:DIS,111.025,113.35,110.15,113.04,38553866.0
2025-06-02 15:30:00,NYSE:DIS,112.68,114.69,111.8435,112.53,31436570.0
