datetime,symbol,open,high,low,close,volume
2024-12-30 15:30:00,NYSE:JPM,238.77,244.88,237.11,243.28,29306703.0
2025-01-06 15:30:00,NYSE:JPM,243.695,245.69,238.74,239.87,37603306.0
2025-01-13 15:30:00,NYSE:JPM,239.67,260.62,239.0,259.16,73831670.0
2025-01-21 15:30:00,NYSE:JPM,260.07,267.1,259.5037,264.84,41149970.0
2025-01-27 15:30:00,NYSE:JPM,264.17,270.82,262.26,267.3,38532253.0
2025-02-03 15:30:00,NYSE:JPM,261.83,278.55,261.7009,275.8,33834010.0
2025-02-10 15:30:00,NYSE:JPM,276.15,279.2334,269.59,276.59,36594916.0
2025-02-18 15:30:00,NYSE:JPM,276.76,280.25,262.84,264.24,41609283.0
2025-02-24 15:30:00,NYSE:JPM,265.49,267.0,253.35,264.65,44596348.0
2025-03-03 15:30:00,NYSE:JPM,264.0,266.32,239.42,242.28,60867330.0
2025-03-10 14:30:00,NYSE:JPM,236.21,237.51,224.23,232.44,81514155.0
2025-03-17 14:30:00,NYSE:JPM,231.18,242.33,230.455,241.63,57706857.0
2025-03-24 14:30:00,NYSE:JPM,245.48,254.67,241.11,242.85,51496503.0
2025-03-31 15:30:00,NYSE:JPM,239.41,247.245,208.93,210.28,73775587.0
2025-04-07 15:30:00,NYSE:JPM,205.77,238.575,202.16,236.2,105603344.0
2025-04-14 15:30:00,NYSE:JPM,237.1,239.78,227.93,231.96,42810978.0
2025-04-21 15:30:00,NYSE:JPM,230.63,246.79,226.336,243.55,51188103.0
2025-04-28 15:30:00,NYSE:JPM,244.56,253.6187,238.43,252.51,43457407.0
2025-05-05 15:30:00,NYSE:JPM,251.18,255.88,248.83,253.08,33952702.0
2025-05-12 15:30:00,NYSE:JPM,262.9,269.52,258.7,267.56,44983466.0
2025-05-19 15:30:00,NYSE:JPM,265.55,268.32,256.0001,260.71,41231381.0
2025-05-27 15:30:00,NYSE:JPM,262.04,266.72,261.99,264.0,29101617.0
2025-06-02 15:30:00,NYSE:JPM,263.02,267.12,260.31,261.95,27090783.0
