datetime,symbol,open,high,low,close,volume
2024-12-30 15:30:00,NYSE:XOM,106.3,109.0,105.51,107.86,50391858.0
2025-01-06 15:30:00,NYSE:XOM,108.24,110.1,105.78,106.54,65412176.0
2025-01-13 15:30:00,NYSE:XOM,107.125,112.8651,107.125,112.32,72450754.0
2025-01-21 15:30:00,NYSE:XOM,112.05,112.175,108.41,108.66,64096967.0
2025-01-27 15:30:00,NYSE:XOM,109.01,110.87,106.095,106.83,78862003.0
2025-02-03 15:30:00,NYSE:XOM,106.64,111.05,105.3225,108.89,66286303.0
2025-02-10 15:30:00,NYSE:XOM,110.005,112.51,106.52,108.24,74292927.0
2025-02-18 15:30:00,NYSE:XOM,108.63,112.42,108.32,110.69,62060784.0
2025-02-24 15:30:00,NYSE:XOM,110.925,112.13,108.52,111.33,72211678.0
2025-03-03 15:30:00,NYSE:XOM,111.7,112.1563,103.67,109.02,99699227.0
2025-03-10 14:30:00,NYSE:XOM,109.275,112.565,107.625,111.9,90363207.0
2025-03-17 14:30:00,NYSE:XOM,111.8,116.47,111.73,115.5,110556070.0
2025-03-24 14:30:00,NYSE:XOM,115.68,119.18,115.58,117.73,63376239.0
2025-03-31 15:30:00,NYSE:XOM,117.79,119.905,103.83,104.34,98738338.0
2025-04-07 15:30:00,NYSE:XOM,100.39,106.58,97.8,103.14,149163432.0
2025-04-14 15:30:00,NYSE:XOM,105.03,108.55,102.7205,106.92,62708327.0
2025-04-21 15:30:00,NYSE:XOM,105.61,109.3,104.12,108.57,65404598.0
2025-04-28 15:30:00,NYSE:XOM,108.75,109.2497,104.15,106.21,78945412.0
2025-05-05 15:30:00,NYSE:XOM,104.65,107.745,103.07,107.31,78451971.0
2025-05-12 15:30:00,NYSE:XOM,110.27,110.51,105.97,108.19,72137153.0
2025-05-19 15:30:00,NYSE:XOM,107.57,107.57,101.89,103.03,71427103.0
2025-05-27 15:30:00,NYSE:XOM,103.49,104.43,101.185,102.3,69814255.0
2025-06-02 15:30:00,NYSE:XOM,103.75,104.92,101.73,101.83,66038278.0
