week_end,value,pnl,rolling_sigma,return_week
2024-01-02 03:00:00,25578852247.228600,78852247.228600,0.000000,0.003092
2024-01-08 03:00:00,24933524111.765400,-645328135.463200,0.102114,-0.025229
2024-01-15 03:00:00,25045967964.857800,112443853.092400,0.098771,0.004510
2024-01-22 03:00:00,25061477247.172001,15509282.314201,0.087910,0.000619
2024-01-29 03:00:00,24824835333.163002,-236641914.008999,0.080041,-0.009442
2024-02-05 03:00:00,25045035966.833401,220200633.670399,0.082383,0.008870
2024-02-15 03:00:00,25434990004.996899,389954038.163498,0.089424,0.015570
2024-02-19 03:00:00,25323058520.146900,-111931484.849998,0.084222,-0.004401
2024-02-26 03:00:00,25586184860.399200,263126340.252300,0.083358,0.010391
2024-03-04 03:00:00,25632501508.153599,46316647.754398,0.079135,0.001810
2024-03-11 03:00:00,25523506484.711998,-108995023.441601,0.076114,-0.004252
2024-03-18 03:00:00,25485849751.103500,-37656733.608498,0.072945,-0.001475
2024-03-25 03:00:00,25605235206.622700,119385455.519199,0.070658,0.004684
2024-04-01 04:00:00,25402393828.053501,-202841378.569199,0.069805,-0.007922
2024-04-08 04:00:00,26079683090.416801,677289262.363300,0.082990,0.026662
2024-04-15 04:00:00,24755079133.285000,-1324603957.131802,0.121692,-0.050791
2024-04-22 04:00:00,25205988889.256001,450909755.971001,0.122802,0.018215
2024-04-29 04:00:00,25837921003.225899,631932113.969898,0.126615,0.025071
2024-05-06 04:00:00,27410045989.713501,1572124986.487602,0.156552,0.060846
2024-05-13 04:00:00,27694274404.696800,284228414.983299,0.152912,0.010369
2024-05-20 04:00:00,26509197957.720001,-1185076446.976799,0.165866,-0.042791
2024-05-27 04:00:00,26466817694.419998,-42380263.300003,0.162149,-0.001599
2024-06-03 04:00:00,26888869011.264801,422051316.844803,0.159915,0.015946
2024-06-10 04:00:00,26109552356.855999,-779316654.408802,0.163011,-0.028983
2024-06-17 04:00:00,25955057461.743202,-154494895.112797,0.160037,-0.005917
2024-06-24 04:00:00,25616394399.787201,-338663061.956001,0.158126,-0.013048
2024-07-01 04:00:00,25980248813.852798,363854414.065598,0.156302,0.014204
2024-07-08 04:00:00,26352558833.664001,372310019.811203,0.154531,0.014331
2024-07-15 04:00:00,26707749154.593601,355190320.929600,0.152672,0.013478
2024-07-22 04:00:00,27066733624.729599,358984470.135998,0.150857,0.013441
2024-07-29 04:00:00,27124451861.527199,57718236.797600,0.148404,0.002132
2024-08-05 04:00:00,26592896572.998398,-531555288.528801,0.148606,-0.019597
2024-08-12 04:00:00,27425483602.595200,832587029.596802,0.150898,0.031309
2024-08-19 04:00:00,27550644125.636002,125160523.040802,0.148685,0.004564
2024-08-26 04:00:00,27537849176.953598,-12794948.682404,0.146588,-0.000464
2024-09-04 04:00:00,27247351695.289600,-290497481.663998,0.145351,-0.010549
2024-09-09 04:00:00,26990033433.750401,-257318261.539200,0.144002,-0.009444
2024-09-16 04:00:00,27048616600.000000,58583166.249599,0.142095,0.002171
2024-09-23 04:00:00,26951407650.000000,-97208950.000000,0.140394,-0.003594
2024-09-30 04:00:00,26774772300.000000,-176635350.000000,0.138932,-0.006554
2024-10-07 04:00:00,27202169400.000000,427397100.000000,0.138179,0.015963
2024-10-14 04:00:00,26734036900.000000,-468132500.000000,0.138108,-0.017209
2024-10-21 04:00:00,26282392400.000000,-451644500.000000,0.137919,-0.016894
2024-10-28 03:00:00,26127156350.000000,-155236050.000000,0.136538,-0.005906
2024-11-04 03:00:00,26304949400.000000,177793050.000000,0.135167,0.006805
2024-11-11 03:00:00,25977635250.000000,-327314150.000000,0.134420,-0.012443
2024-11-18 03:00:00,25775809400.000000,-201825850.000000,0.133266,-0.007769
2024-11-25 03:00:00,26086294300.000000,310484900.000000,0.132415,0.012046
2024-12-02 03:00:00,26149343150.000000,63048850.000000,0.131069,0.002417
2024-12-09 03:00:00,25974261900.000000,-175081250.000000,0.129965,-0.006695
2024-12-16 03:00:00,25629621300.000000,-344640600.000000,0.129422,-0.013269
2024-12-23 03:00:00,25882425850.000000,252804550.000000,0.128524,0.009864
2024-12-30 03:00:00,25393266300.000000,-489159550.000000,0.128713,-0.018899
